Batch,SKU,Item name,Color,Market,Items,Items / case,Cases,Cost (before shipping),Line item total cost,
2024-10,YP1-C1,Plush and small parts,Purple,US,"2,500",36,69.44,$7.30,"$18,250.00",12/12/2024
2024-10,YP1-C2,Plush and small parts,Blue,US,"6,000",36,166.67,$7.30,"$43,800.00",12/12/2024
2024-10,YP1-C3,Plush and small parts,Peach,US,"1,500",36,41.67,$7.30,"$10,950.00",12/12/2024
2025-01,YP1-C1,Plush and small parts,Purple,US,"7,380",36,205.00,$8.45,"$62,361.00",02/24/2025
2025-01,YP1-C2,Plush and small parts,Blue,US,"15,552",36,432.00,$8.45,"$131,414.40",02/23/2025
2025-01,YP1-C3,Plush and small parts,Peach,US,"6,624",36,184.00,$8.45,"$55,972.80",02/24/2025
2025-02,YP1-R1-C1,Plush,Purple,US,"7,524",36,209.00,$8.30,"$62,449.20",06/09/2025
2025-02,YP1-R1-C2,Plush,Blue,US,"16,200",36,450.00,$8.30,"$134,460.00",06/09/2025
2025-02,YP1-R1-C3,Plush,Peach,US,"6,300",36,175.00,$8.30,"$52,290.00",06/09/2025
2025-02,YP2,Small Parts,,US,"30,024",108,278.00,$1.25,"$37,530.00",06/09/2025
2025-05,YP3-C1,Plush,Purple,US,"4,284",36,119.00,$8.50,"$36,414.00",07/09/2025
2025-05,YP3-C2,Plush,Blue,US,"9,180",36,255.00,$8.50,"$78,030.00",07/09/2025
2025-05,YP3-C3,Plush,Peach,US,"3,600",36,100.00,$8.50,"$30,600.00",07/09/2025
2025-05,YP4,Small Parts,,US,"17,064",216,79.00,$1.25,"$21,330.00",07/09/2025
2025-05,YP3-C1,Plush,Purple,CA,"2,592",36,72.00,$8.60,"$22,291.20",
2025-05,YP3-C2,Plush,Blue,CA,"5,616",36,156.00,$8.60,"$48,297.60",
2025-05,YP3-C3,Plush,Peach,CA,"2,160",36,60.00,$8.60,"$18,576.00",
2025-05,YP4,Small Parts,,CA,"10,368",216,48.00,$1.25,"$12,960.00",
2025-05,YP3-C1,Plush,Purple,AU,648,36,18.00,$8.80,"$5,702.40",
2025-05,YP3-C2,Plush,Blue,AU,"1,404",36,39.00,$8.80,"$12,355.20",
2025-05,YP3-C3,Plush,Peach,AU,540,36,15.00,$8.80,"$4,752.00",
2025-05,YP4,Small Parts,,AU,"2,592",216,12.00,$1.25,"$3,240.00",
2025-07,YP3-C1,Plush,Purple ,US,"4,968",36,138.00,$8.50,"$42,228.00",
2025-07,YP3-C2,Plush,Blue ,US,"9,936",36,276.00,$8.50,"$84,456.00",
2025-07,YP3-C3,Plush,Peach ,US,"4,968",36,138.00,$8.50,"$42,228.00",
2025-07,YP4,Small Parts,,US,"19,872",216,92.00,$1.25,"$24,840.00",
2025-07,YP3-C1,Plush,Purple ,UK,"2,592",36,72.00,$9.10,"$23,587.20",
2025-07,YP3-C2,Plush,Blue ,UK,"4,968",36,138.00,$9.10,"$45,208.80",
2025-07,YP3-C3,Plush,Peach ,UK,"2,592",36,72.00,$9.10,"$23,587.20",
2025-07,YP4,Small Parts,,UK,"10,152",216,47.00,$1.25,"$12,690.00",
2025-08,YP5,Yeeps Dog,Brown,US,"10,872",36,302.00,$10.96,"$119,157.12",
2025-08,YP6,Cat,Black,US,"12,420",36,345.00,$10.96,"$136,123.20",
2025-08,YP7,Chicken,Green,US,"9,504",36,264.00,$10.96,"$104,163.84",
2025-08,YP5,Yeeps Dog,Brown,UK,"1,332",36,37.00,$10.96,"$14,598.72",
2025-08,YP6,Cat,Black,UK,"1,512",36,42.00,$10.96,"$16,571.52",
2025-08,YP7,Chicken,Green,UK,"1,152",36,32.00,$10.96,"$12,625.92",
2025-08,YP5,Yeeps Dog,Brown,CA,792,36,22.00,$10.96,"$8,680.32",
2025-08,YP6,Cat,Black,CA,900,36,25.00,$10.96,"$9,864.00",
2025-08,YP7,Chicken,Green,CA,684,36,19.00,$10.96,"$7,496.64",
2025-08,YP5,Yeeps Dog,Brown,AU,252,36,7.00,$10.96,"$2,761.92",
2025-08,YP6,Cat,Black,AU,288,36,8.00,$10.96,"$3,156.48",
2025-08,YP7,Chicken,Green,AU,216,36,6.00,$10.96,"$2,367.36",
 2025-08B,YP5,Yeeps Dog,Brown,US,"5,940",36,165.00,$10.96,"$65,102.40",
 2025-08B,YP6,Cat,Black,US,"5,940",36,165.00,$10.96,"$65,102.40",
 2025-08B,YP7,Chicken,Green,US,"5,940",36,165.00,$10.96,"$65,102.40",
 2025-08B,YP5,Yeeps Dog,Brown,UK,648,36,18.00,$10.96,"$7,102.08",
 2025-08B,YP6,Cat,Black,UK,648,36,18.00,$10.96,"$7,102.08",
 2025-08B,YP7,Chicken,Green,UK,648,36,18.00,$10.96,"$7,102.08",
2025-09,YP3-C1,Plush,Purple ,US,"5,400",36,150.00,,$0.00,
2025-09,YP3-C2,Plush,Blue ,US,"7,200",36,200.00,,$0.00,
2025-09,YP3-C3,Plush,Peach ,US,"5,400",36,150.00,,$0.00,
2025-09,YP3-C1,Plush,Purple ,UK,612,36,17.00,,$0.00,
2025-09,YP3-C2,Plush,Blue ,UK,"5,940",36,165.00,,$0.00,
2025-09,YP3-C3,Plush,Peach ,UK,612,36,17.00,,$0.00,